# Neutrino-40Ar neutral current cross section (10^-38 cm^2/GeV) #
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar #

-1.890892  2.437756e-04  2.437756e-04  2.437756e-04  2.437756e-04  2.437756e-04  2.437756e-04
-1.889582  2.491703e-04  2.491703e-04  2.491703e-04  2.491703e-04  2.491703e-04  2.491703e-04
-1.888272  2.546252e-04  2.546252e-04  2.546252e-04  2.546252e-04  2.546252e-04  2.546252e-04
-1.886962  2.601403e-04  2.601403e-04  2.601403e-04  2.601403e-04  2.601403e-04  2.601403e-04
-1.885652  2.657158e-04  2.657158e-04  2.657158e-04  2.657158e-04  2.657158e-04  2.657158e-04
-1.884343  2.713515e-04  2.713515e-04  2.713515e-04  2.713515e-04  2.713515e-04  2.713515e-04
-1.883033  2.770476e-04  2.770476e-04  2.770476e-04  2.770476e-04  2.770476e-04  2.770476e-04
-1.881723  2.828042e-04  2.828042e-04  2.828042e-04  2.828042e-04  2.828042e-04  2.828042e-04
-1.880413  2.886213e-04  2.886213e-04  2.886213e-04  2.886213e-04  2.886213e-04  2.886213e-04
-1.879103  2.944989e-04  2.944989e-04  2.944989e-04  2.944989e-04  2.944989e-04  2.944989e-04
-1.877794  3.004371e-04  3.004371e-04  3.004371e-04  3.004371e-04  3.004371e-04  3.004371e-04
-1.876484  3.064360e-04  3.064360e-04  3.064360e-04  3.064360e-04  3.064360e-04  3.064360e-04
-1.875174  3.124955e-04  3.124955e-04  3.124955e-04  3.124955e-04  3.124955e-04  3.124955e-04
-1.873864  3.186159e-04  3.186159e-04  3.186159e-04  3.186159e-04  3.186159e-04  3.186159e-04
-1.872554  3.247970e-04  3.247970e-04  3.247970e-04  3.247970e-04  3.247970e-04  3.247970e-04
-1.871245  3.310390e-04  3.310390e-04  3.310390e-04  3.310390e-04  3.310390e-04  3.310390e-04
-1.869935  3.373420e-04  3.373420e-04  3.373420e-04  3.373420e-04  3.373420e-04  3.373420e-04
-1.868625  3.437059e-04  3.437059e-04  3.437059e-04  3.437059e-04  3.437059e-04  3.437059e-04
-1.867315  3.501309e-04  3.501309e-04  3.501309e-04  3.501309e-04  3.501309e-04  3.501309e-04
-1.866005  3.566170e-04  3.566170e-04  3.566170e-04  3.566170e-04  3.566170e-04  3.566170e-04
-1.864695  3.631642e-04  3.631642e-04  3.631642e-04  3.631642e-04  3.631642e-04  3.631642e-04
-1.863386  3.697727e-04  3.697727e-04  3.697727e-04  3.697727e-04  3.697727e-04  3.697727e-04
-1.862076  3.764425e-04  3.764425e-04  3.764425e-04  3.764425e-04  3.764425e-04  3.764425e-04
-1.860766  3.831736e-04  3.831736e-04  3.831736e-04  3.831736e-04  3.831736e-04  3.831736e-04
-1.859456  3.899661e-04  3.899661e-04  3.899661e-04  3.899661e-04  3.899661e-04  3.899661e-04
-1.858146  3.968200e-04  3.968200e-04  3.968200e-04  3.968200e-04  3.968200e-04  3.968200e-04
-1.856837  4.037356e-04  4.037356e-04  4.037356e-04  4.037356e-04  4.037356e-04  4.037356e-04
-1.855527  4.107126e-04  4.107126e-04  4.107126e-04  4.107126e-04  4.107126e-04  4.107126e-04
-1.854217  4.177514e-04  4.177514e-04  4.177514e-04  4.177514e-04  4.177514e-04  4.177514e-04
-1.852907  4.248519e-04  4.248519e-04  4.248519e-04  4.248519e-04  4.248519e-04  4.248519e-04
-1.851597  4.320141e-04  4.320141e-04  4.320141e-04  4.320141e-04  4.320141e-04  4.320141e-04
-1.850288  4.392382e-04  4.392382e-04  4.392382e-04  4.392382e-04  4.392382e-04  4.392382e-04
-1.848978  4.465242e-04  4.465242e-04  4.465242e-04  4.465242e-04  4.465242e-04  4.465242e-04
-1.847668  4.538722e-04  4.538722e-04  4.538722e-04  4.538722e-04  4.538722e-04  4.538722e-04
-1.846358  4.612823e-04  4.612823e-04  4.612823e-04  4.612823e-04  4.612823e-04  4.612823e-04
-1.845048  4.687544e-04  4.687544e-04  4.687544e-04  4.687544e-04  4.687544e-04  4.687544e-04
-1.843739  4.762888e-04  4.762888e-04  4.762888e-04  4.762888e-04  4.762888e-04  4.762888e-04
-1.842429  4.838854e-04  4.838854e-04  4.838854e-04  4.838854e-04  4.838854e-04  4.838854e-04
-1.841119  4.915443e-04  4.915443e-04  4.915443e-04  4.915443e-04  4.915443e-04  4.915443e-04
-1.839809  4.992656e-04  4.992656e-04  4.992656e-04  4.992656e-04  4.992656e-04  4.992656e-04
-1.838499  5.070494e-04  5.070494e-04  5.070494e-04  5.070494e-04  5.070494e-04  5.070494e-04
-1.837190  5.148957e-04  5.148957e-04  5.148957e-04  5.148957e-04  5.148957e-04  5.148957e-04
-1.835880  5.228046e-04  5.228046e-04  5.228046e-04  5.228046e-04  5.228046e-04  5.228046e-04
-1.834570  5.307761e-04  5.307761e-04  5.307761e-04  5.307761e-04  5.307761e-04  5.307761e-04
-1.833260  5.388105e-04  5.388105e-04  5.388105e-04  5.388105e-04  5.388105e-04  5.388105e-04
-1.831950  5.469076e-04  5.469076e-04  5.469076e-04  5.469076e-04  5.469076e-04  5.469076e-04
-1.830641  5.550676e-04  5.550676e-04  5.550676e-04  5.550676e-04  5.550676e-04  5.550676e-04
-1.829331  5.632907e-04  5.632907e-04  5.632907e-04  5.632907e-04  5.632907e-04  5.632907e-04
-1.828021  5.715767e-04  5.715767e-04  5.715767e-04  5.715767e-04  5.715767e-04  5.715767e-04
-1.826711  5.799259e-04  5.799259e-04  5.799259e-04  5.799259e-04  5.799259e-04  5.799259e-04
-1.825401  5.883382e-04  5.883382e-04  5.883382e-04  5.883382e-04  5.883382e-04  5.883382e-04
-1.824092  5.968139e-04  5.968139e-04  5.968139e-04  5.968139e-04  5.968139e-04  5.968139e-04
-1.822782  6.053528e-04  6.053528e-04  6.053528e-04  6.053528e-04  6.053528e-04  6.053528e-04
-1.821472  6.139553e-04  6.139553e-04  6.139553e-04  6.139553e-04  6.139553e-04  6.139553e-04
-1.820162  6.226212e-04  6.226212e-04  6.226212e-04  6.226212e-04  6.226212e-04  6.226212e-04
-1.818852  6.313507e-04  6.313507e-04  6.313507e-04  6.313507e-04  6.313507e-04  6.313507e-04
-1.817543  6.401438e-04  6.401438e-04  6.401438e-04  6.401438e-04  6.401438e-04  6.401438e-04
-1.816233  6.490007e-04  6.490007e-04  6.490007e-04  6.490007e-04  6.490007e-04  6.490007e-04
-1.814923  6.579214e-04  6.579214e-04  6.579214e-04  6.579214e-04  6.579214e-04  6.579214e-04
-1.813613  6.669061e-04  6.669061e-04  6.669061e-04  6.669061e-04  6.669061e-04  6.669061e-04
-1.812303  6.759547e-04  6.759547e-04  6.759547e-04  6.759547e-04  6.759547e-04  6.759547e-04
-1.810994  6.850673e-04  6.850673e-04  6.850673e-04  6.850673e-04  6.850673e-04  6.850673e-04
-1.809684  6.942442e-04  6.942442e-04  6.942442e-04  6.942442e-04  6.942442e-04  6.942442e-04
-1.808374  7.034852e-04  7.034852e-04  7.034852e-04  7.034852e-04  7.034852e-04  7.034852e-04
-1.807064  7.127906e-04  7.127906e-04  7.127906e-04  7.127906e-04  7.127906e-04  7.127906e-04
-1.805754  7.221604e-04  7.221604e-04  7.221604e-04  7.221604e-04  7.221604e-04  7.221604e-04
-1.804445  7.315947e-04  7.315947e-04  7.315947e-04  7.315947e-04  7.315947e-04  7.315947e-04
-1.803135  7.410935e-04  7.410935e-04  7.410935e-04  7.410935e-04  7.410935e-04  7.410935e-04
-1.801825  7.506570e-04  7.506570e-04  7.506570e-04  7.506570e-04  7.506570e-04  7.506570e-04
-1.800515  7.602853e-04  7.602853e-04  7.602853e-04  7.602853e-04  7.602853e-04  7.602853e-04
-1.799205  7.699784e-04  7.699784e-04  7.699784e-04  7.699784e-04  7.699784e-04  7.699784e-04
-1.797895  7.797364e-04  7.797364e-04  7.797364e-04  7.797364e-04  7.797364e-04  7.797364e-04
-1.796586  7.895594e-04  7.895594e-04  7.895594e-04  7.895594e-04  7.895594e-04  7.895594e-04
-1.795276  7.994475e-04  7.994475e-04  7.994475e-04  7.994475e-04  7.994475e-04  7.994475e-04
-1.793966  8.094009e-04  8.094009e-04  8.094009e-04  8.094009e-04  8.094009e-04  8.094009e-04
-1.792656  8.194195e-04  8.194195e-04  8.194195e-04  8.194195e-04  8.194195e-04  8.194195e-04
-1.791346  8.295034e-04  8.295034e-04  8.295034e-04  8.295034e-04  8.295034e-04  8.295034e-04
-1.790037  8.396529e-04  8.396529e-04  8.396529e-04  8.396529e-04  8.396529e-04  8.396529e-04
-1.788727  8.498679e-04  8.498679e-04  8.498679e-04  8.498679e-04  8.498679e-04  8.498679e-04
-1.787417  8.601485e-04  8.601485e-04  8.601485e-04  8.601485e-04  8.601485e-04  8.601485e-04
-1.786107  8.704949e-04  8.704949e-04  8.704949e-04  8.704949e-04  8.704949e-04  8.704949e-04
-1.784797  8.809071e-04  8.809071e-04  8.809071e-04  8.809071e-04  8.809071e-04  8.809071e-04
-1.783488  8.913853e-04  8.913853e-04  8.913853e-04  8.913853e-04  8.913853e-04  8.913853e-04
-1.782178  9.019295e-04  9.019295e-04  9.019295e-04  9.019295e-04  9.019295e-04  9.019295e-04
-1.780868  9.125398e-04  9.125398e-04  9.125398e-04  9.125398e-04  9.125398e-04  9.125398e-04
-1.779558  9.232163e-04  9.232163e-04  9.232163e-04  9.232163e-04  9.232163e-04  9.232163e-04
-1.778248  9.339591e-04  9.339591e-04  9.339591e-04  9.339591e-04  9.339591e-04  9.339591e-04
-1.776939  9.447684e-04  9.447684e-04  9.447684e-04  9.447684e-04  9.447684e-04  9.447684e-04
-1.775629  9.556442e-04  9.556442e-04  9.556442e-04  9.556442e-04  9.556442e-04  9.556442e-04
-1.774319  9.665865e-04  9.665865e-04  9.665865e-04  9.665865e-04  9.665865e-04  9.665865e-04
-1.773009  9.775956e-04  9.775956e-04  9.775956e-04  9.775956e-04  9.775956e-04  9.775956e-04
-1.771699  9.886715e-04  9.886715e-04  9.886715e-04  9.886715e-04  9.886715e-04  9.886715e-04
-1.770390  9.998144e-04  9.998144e-04  9.998144e-04  9.998144e-04  9.998144e-04  9.998144e-04
-1.769080  1.011024e-03  1.011024e-03  1.011024e-03  1.011024e-03  1.011024e-03  1.011024e-03
-1.767770  1.022301e-03  1.022301e-03  1.022301e-03  1.022301e-03  1.022301e-03  1.022301e-03
-1.766460  1.033645e-03  1.033645e-03  1.033645e-03  1.033645e-03  1.033645e-03  1.033645e-03
-1.765150  1.045057e-03  1.045057e-03  1.045057e-03  1.045057e-03  1.045057e-03  1.045057e-03
-1.763841  1.056536e-03  1.056536e-03  1.056536e-03  1.056536e-03  1.056536e-03  1.056536e-03
-1.762531  1.068082e-03  1.068082e-03  1.068082e-03  1.068082e-03  1.068082e-03  1.068082e-03
-1.761221  1.079696e-03  1.079696e-03  1.079696e-03  1.079696e-03  1.079696e-03  1.079696e-03
-1.759911  1.091378e-03  1.091378e-03  1.091378e-03  1.091378e-03  1.091378e-03  1.091378e-03
-1.758601  1.103128e-03  1.103128e-03  1.103128e-03  1.103128e-03  1.103128e-03  1.103128e-03
-1.757292  1.114945e-03  1.114945e-03  1.114945e-03  1.114945e-03  1.114945e-03  1.114945e-03
-1.755982  1.126831e-03  1.126831e-03  1.126831e-03  1.126831e-03  1.126831e-03  1.126831e-03
-1.754672  1.138785e-03  1.138785e-03  1.138785e-03  1.138785e-03  1.138785e-03  1.138785e-03
-1.753362  1.150807e-03  1.150807e-03  1.150807e-03  1.150807e-03  1.150807e-03  1.150807e-03
-1.752052  1.162897e-03  1.162897e-03  1.162897e-03  1.162897e-03  1.162897e-03  1.162897e-03
-1.750743  1.175056e-03  1.175056e-03  1.175056e-03  1.175056e-03  1.175056e-03  1.175056e-03
-1.749433  1.187284e-03  1.187284e-03  1.187284e-03  1.187284e-03  1.187284e-03  1.187284e-03
-1.748123  1.199580e-03  1.199580e-03  1.199580e-03  1.199580e-03  1.199580e-03  1.199580e-03
-1.746813  1.211946e-03  1.211946e-03  1.211946e-03  1.211946e-03  1.211946e-03  1.211946e-03
-1.745503  1.224380e-03  1.224380e-03  1.224380e-03  1.224380e-03  1.224380e-03  1.224380e-03
-1.744194  1.236883e-03  1.236883e-03  1.236883e-03  1.236883e-03  1.236883e-03  1.236883e-03
