# Electron neutrino-oxygen charged-current cross section 5MeV-100MeV (10^-38 cm^2/GeV)
# Based on arXiv:1807.02367 (calculations) and arXiv:1809.08398 (fit).
# log(energy in GeV)      nu_e         nu_mu      nu_tau   nu_e_bar  nu_mu_bar  nu_tau_bar

     -1.794929         3.99404e-06       0          0          0          0          0     
     -1.793628         4.36848e-06       0          0          0          0          0     
     -1.792327         4.76730e-06       0          0          0          0          0     
     -1.791026         5.19139e-06       0          0          0          0          0     
     -1.789725         5.64165e-06       0          0          0          0          0     
     -1.788424         6.11901e-06       0          0          0          0          0     
     -1.787123         6.62441e-06       0          0          0          0          0     
     -1.785822         7.15882e-06       0          0          0          0          0     
     -1.784521         7.72324e-06       0          0          0          0          0     
     -1.783220         8.31866e-06       0          0          0          0          0     
     -1.781919         8.94612e-06       0          0          0          0          0     
     -1.780618         9.60665e-06       0          0          0          0          0     
     -1.779317         1.03013e-05       0          0          0          0          0     
     -1.778016         1.10312e-05       0          0          0          0          0     
     -1.776715         1.17975e-05       0          0          0          0          0     
     -1.775414         1.26012e-05       0          0          0          0          0     
     -1.774113         1.34434e-05       0          0          0          0          0     
     -1.772812         1.43254e-05       0          0          0          0          0     
     -1.771511         1.52484e-05       0          0          0          0          0     
     -1.770210         1.62134e-05       0          0          0          0          0     
     -1.768909         1.72218e-05       0          0          0          0          0     
     -1.767608         1.82747e-05       0          0          0          0          0     
     -1.766307         1.93735e-05       0          0          0          0          0     
     -1.765006         2.05193e-05       0          0          0          0          0     
     -1.763705         2.17135e-05       0          0          0          0          0     
     -1.762404         2.29574e-05       0          0          0          0          0     
     -1.761103         2.42524e-05       0          0          0          0          0     
     -1.759802         2.55997e-05       0          0          0          0          0     
     -1.758500         2.70007e-05       0          0          0          0          0     
     -1.757199         2.84568e-05       0          0          0          0          0     
     -1.755898         2.99695e-05       0          0          0          0          0     
     -1.754597         3.15401e-05       0          0          0          0          0     
     -1.753296         3.31702e-05       0          0          0          0          0     
     -1.751995         3.48611e-05       0          0          0          0          0     
     -1.750694         3.66144e-05       0          0          0          0          0     
     -1.749393         3.84316e-05       0          0          0          0          0     
     -1.748092         4.03142e-05       0          0          0          0          0     
     -1.746791         4.22637e-05       0          0          0          0          0     
     -1.745490         4.42817e-05       0          0          0          0          0     
     -1.744189         4.63699e-05       0          0          0          0          0     
     -1.742888         4.85298e-05       0          0          0          0          0     
     -1.741587         5.07631e-05       0          0          0          0          0     
     -1.740286         5.30713e-05       0          0          0          0          0     
     -1.738985         5.54563e-05       0          0          0          0          0     
     -1.737684         5.79197e-05       0          0          0          0          0     
     -1.736383         6.04632e-05       0          0          0          0          0     
     -1.735082         6.30885e-05       0          0          0          0          0     
     -1.733781         6.57975e-05       0          0          0          0          0     
     -1.732480         6.85918e-05       0          0          0          0          0     
     -1.731179         7.14734e-05       0          0          0          0          0     
     -1.729878         7.44440e-05       0          0          0          0          0     
     -1.728577         7.75055e-05       0          0          0          0          0     
     -1.727276         8.06598e-05       0          0          0          0          0     
     -1.725975         8.39087e-05       0          0          0          0          0     
     -1.724674         8.72542e-05       0          0          0          0          0     
     -1.723373         9.06982e-05       0          0          0          0          0     
     -1.722072         9.42427e-05       0          0          0          0          0     
     -1.720771         9.78896e-05       0          0          0          0          0     
     -1.719470         1.01641e-04       0          0          0          0          0     
     -1.718169         1.05499e-04       0          0          0          0          0     
     -1.716868         1.09465e-04       0          0          0          0          0     
     -1.715566         1.13543e-04       0          0          0          0          0     
     -1.714265         1.17733e-04       0          0          0          0          0     
     -1.712964         1.22037e-04       0          0          0          0          0     
     -1.711663         1.26459e-04       0          0          0          0          0     
     -1.710362         1.31000e-04       0          0          0          0          0     
     -1.709061         1.35663e-04       0          0          0          0          0     
     -1.707760         1.40449e-04       0          0          0          0          0     
     -1.706459         1.45360e-04       0          0          0          0          0     
     -1.705158         1.50400e-04       0          0          0          0          0     
     -1.703857         1.55571e-04       0          0          0          0          0     
     -1.702556         1.60874e-04       0          0          0          0          0     
     -1.701255         1.66313e-04       0          0          0          0          0     
     -1.699954         1.71888e-04       0          0          0          0          0     
     -1.698653         1.77604e-04       0          0          0          0          0     
     -1.697352         1.83462e-04       0          0          0          0          0     
     -1.696051         1.89465e-04       0          0          0          0          0     
     -1.694750         1.95615e-04       0          0          0          0          0     
     -1.693449         2.01914e-04       0          0          0          0          0     
     -1.692148         2.08366e-04       0          0          0          0          0     
     -1.690847         2.14973e-04       0          0          0          0          0     
     -1.689546         2.21737e-04       0          0          0          0          0     
     -1.688245         2.28660e-04       0          0          0          0          0     
     -1.686944         2.35747e-04       0          0          0          0          0     
     -1.685643         2.42999e-04       0          0          0          0          0     
     -1.684342         2.50418e-04       0          0          0          0          0     
     -1.683041         2.58008e-04       0          0          0          0          0     
     -1.681740         2.65772e-04       0          0          0          0          0     
     -1.680439         2.73712e-04       0          0          0          0          0     
     -1.679138         2.81830e-04       0          0          0          0          0     
     -1.677837         2.90130e-04       0          0          0          0          0     
     -1.676536         2.98615e-04       0          0          0          0          0     
     -1.675235         3.07287e-04       0          0          0          0          0     
     -1.673934         3.16150e-04       0          0          0          0          0     
     -1.672633         3.25205e-04       0          0          0          0          0     
     -1.671331         3.34457e-04       0          0          0          0          0     
     -1.670030         3.43908e-04       0          0          0          0          0     
     -1.668729         3.53561e-04       0          0          0          0          0     
     -1.667428         3.63419e-04       0          0          0          0          0     
     -1.666127         3.73486e-04       0          0          0          0          0     
     -1.664826         3.83764e-04       0          0          0          0          0     
     -1.663525         3.94256e-04       0          0          0          0          0     
     -1.662224         4.04966e-04       0          0          0          0          0     
     -1.660923         4.15896e-04       0          0          0          0          0     
     -1.659622         4.27051e-04       0          0          0          0          0     
     -1.658321         4.38433e-04       0          0          0          0          0     
     -1.657020         4.50045e-04       0          0          0          0          0     
     -1.655719         4.61891e-04       0          0          0          0          0     
     -1.654418         4.73974e-04       0          0          0          0          0     
     -1.653117         4.86298e-04       0          0          0          0          0     
     -1.651816         4.98865e-04       0          0          0          0          0     
     -1.650515         5.11680e-04       0          0          0          0          0     
     -1.649214         5.24745e-04       0          0          0          0          0     
     -1.647913         7.45576e-04       0          0          0          0          0     
     -1.646612         5.89778e-04       0          0          0          0          0     
     -1.645311         5.94048e-04       0          0          0          0          0     
     -1.644010         6.06636e-04       0          0          0          0          0     
     -1.642709         6.21704e-04       0          0          0          0          0     
     -1.641408         6.38056e-04       0          0          0          0          0     
     -1.640107         6.55299e-04       0          0          0          0          0     
     -1.638806         6.73276e-04       0          0          0          0          0     
     -1.637505         6.91912e-04       0          0          0          0          0     
     -1.636204         7.11172e-04       0          0          0          0          0     
     -1.634903         7.31040e-04       0          0          0          0          0     
     -1.633602         7.51510e-04       0          0          0          0          0     
     -1.632301         7.72583e-04       0          0          0          0          0     
     -1.631000         7.94262e-04       0          0          0          0          0     
     -1.629699         8.16555e-04       0          0          0          0          0     
     -1.628397         8.39470e-04       0          0          0          0          0     
     -1.627096         8.63015e-04       0          0          0          0          0     
     -1.625795         8.87203e-04       0          0          0          0          0     
     -1.624494         9.12042e-04       0          0          0          0          0     
     -1.623193         9.37546e-04       0          0          0          0          0     
